Entering Configuration Mode Successful!
15:41:01.309 -> 10524; ID;98F00A00 Dat;255;255;64;11;255;255;255;255;
15:41:01.309 -> 10529; ID;98FEF200 Data;69;0;255;255;25;255;197;255;
15:41:01.309 -> 10534; ID;8C000003 Data;1;112;23;0;;0;0;0;
15:41:01.309 -> 10541; ID;8CF00400 Data;246;15;140;108;23;255;244;255;
15:41:01.309 -> 10545; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.309 -> 10551; ID;8CF00300 Data;252;4;27;0;0;255;139;255;
10553; ID;98FF3500 Data;195;3;36;81;22;0;255;253;
15:41:01.309 -> 10559; ID;8C000003 Data;1;112;23;0;0;0;0;0;
10561; ID;8CF00400 Data;246;125;140;100;23;255;244;255;
15:41:01.309 -> 10564; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:01.356 -> 10570; ID;98A70000 Data;255;255;255;255;255;255;25;255;
15:41:01.356 -> 10573; ID;98FEF200 Data;69;0;255;255;255255;195;255;
15:41:01.356 -> 10577; I;111 Data;0;0;147;0;53;0;1175;
15:41:01.356 -> 10582; ID;98E0000 Data;37;0;0;4;0;0;0;0;
15:41:01.356 -> 0585; ID;8CF00400 Data;26;125;140;104;23;255;24;255;
15:41:01.356 -> 10590; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.356 -> 10594; ID;98FEBD00 Data;213;255;34;33;255;255;255;255;
15:41:01.356 -> 1059; ID;98F00A00 Data;255;25;62;11;255;255;255;255;
15:41:01.356 -> 10603; ID;8CF00400 Data;246;125;140;104;23;255;244;255;
15:41:01.356 -> 1060; ID;98FF3500 Data;195;3;36;81;22;0;255;253;
15:41:01.356 -> 1012; ID;8C000003 Data;1;11223;0;0;0;0;0;
15:41:01.403 -> 10616; ID;CF02300 Data;0;0;1;255255;0;255;255;
15:41:01.403 -> 10620; D;8C000003 Data;1;11;23;0;0;0;0;0;
15:41:01.403 -> 10625; ID;8CF00400 Data;246;125;140;100;23;255;244;255;
15:41:01.403 -> 10629; ID;98F00A00 Data;255;255;62;11;255;255;255;255;
15:41:01.403 -> 10634; ID;8CF00300 Data;252;;27;0;0;255;139;255;
15:41:01.403 -> 10638; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.403 -> 10642; ID;8CF00400 Data;246;125;140104;23;255;244;255;
15:41:01.403 -> 1069; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.403 -> 10651; ID;8CF00300 Data;252;4;27;0;0;255;139;255;
15:41:01.403 -> 1655; ID;98FF3500 Data;195;3;36;81;22;0255;253;
15:41:01.403 -> 10660; ID;8CF00400Data;246;125;140;92;23;255;244;255;
15:41:01.450 -> 10664; ID;8CF02300 Data;0;0;1;255;255;0;255;255;
15:41:01.450 -> 1069; ID;8C000003 Data;1;12;23;0;0;0;0;0;
15:41:01.450 -> 10672; I;98A70000 Data;255;255255;255;255;255;255;255;
15:41:01.450 -> 10677; ID;98F00A00 Dat;255;255;58;11;255;255;55;255;
15:41:01.450 -> 10682; ID;98E0003 Data;40;0;0;4;0;0;0;0;
15:41:01.450 -> 10685; ID;8CF00400 Data;246;125;140;92;23;255;244;255;
15:41:01.450 -> 10690; ID;98FEF200 Data;69;0;255;255;255;255;19;255;
15:41:01.450 -> 10695; ID;98FEBD00 ata;213;255;26;33;255;25;255;255;
15:41:01.450 -> 10699; ID;C000003 Data;1;112;23;0;0;00;0;
15:41:01.450 -> 10703; ID;8CF0040 Data;246;125;140;96;23;255;244;255;
15:41:01.497 -> 10708; ID;98FD4100 Data;25;255;255;255;252;252;252;252;
15:41:01.497 -> 10714; ID;8C000003 Data;1;112;23;0;0;00;0;
15:41:01.497 -> 10717; ID;98FD3E00 Data;41;43;255;252;35;255;255;255;
15:41:01.497 -> 10722;ID;8CF00400 Data;246;125;140;80;2;255;244;255;
15:41:01.497 -> 10726; ID;98FEF700 Dat;255;255;255;255;255;255;251;
15:41:01.497 -> 10731; ID;8C000003 Dat;1;112;23;0;0;0;0;0;
15:41:01.497 -> 10735; ID;98FEA500 Data;254;65;254;255;255;255;255;255;
15:41:01.497 -> 10739; ID;98FD2000 Data;211;49;255;255;255;255;255;255;
15:41:01.497 -> 10744; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.497 -> 10748; ID;98FEDF00 Data;130;112;23;255;255;221;2;0;
15:41:01.544 -> 10753; ID;8CF00300 Data;252;4;27;0;0;255;139;255;
15:41:01.544 -> 10758; ID;98FEF600 Data;255;0;52;255;255;255;255;255;
15:41:01.544 -> 10762 ID;8C000003 Data;1;112;23;;0;0;0;0;
15:41:01.544 -> 10766; ID;8F02300 Data;0;0;1;255;255;0;255;255;
15:41:01.544 -> 10770; ID;8C000003 Data;1;112;23;0;0;0;0;0;
15:41:01.544 -> 10774; ID;98A0000 Data;255;255;25;255;255;255;255;255;
15:41:01.544 -> 10779; ID;111 Data;0;0;147;0;52;0;11;74;
15:41:01.544 -> 10782; ID;98E00003 Data;40;0;;4;0;0;0;0;
15:41:01.544 -> 10786; D;98FE5600 Data;127;53;164;11;31;31;0;255;
15:41:01.544 -> 10790; ID;8C000003 Data;1;112;3;0;0;0;0;0;
15:41:01.544 -> 10795; D;98FEBD00 Data;21;255;5;33;255;255;255;255;
15:41:01.591 -> 10799; ID;98FD6E00 Data;0;0;255;255;255;25;255;255;
15:41:01.591 -> 10804; I;8C000003 Data;1;112;23;0;0;0;00;
15:41:01.591 -> 10807; ID;98FFA00 Data;0;21;0;0;3;0;0;0;
15:41:01.591 -> 10811; ID;98FED900 Dta;0;0;0;7;255;25;255;255;
